pid,lat,lon
60053|2970533343|2697174608,42.04628754,-87.79925537
60053|3013702075|0556143577,42.05274963,-87.81578064
60053|3019310079|1569253525,42.03501511,-87.78350830
60053|3176932599|2556621741,42.03826523,-87.78492737
60053|3391887863|0323847208,42.02401733,-87.78741455
60053|3503921214|3629597542,42.03246689,-87.78195190
60053|3831030467|2145539576,42.03897858,-87.76700592
60053|3905944632|3461351434,42.04990768,-87.80956268
60068|0003283735|3240167256,42.00511551,-87.84955597
60068|0005396045|0883553148,41.98975754,-87.82414246
60068|0024846947|3165522254,42.03975296,-87.84830475
60068|0049081001|3856815334,41.99625778,-87.83004761
60068|0070703311|0279741174,41.99713516,-87.84808350
60068|0082779104|3840338873,42.00797653,-87.82260132
60068|0103146744|2775039301,41.98693848,-87.83279419
60068|0112480962|0856493971,42.00694275,-87.83071136
60068|0117772804|0936026726,42.00126266,-87.82955933
60068|0121802441|1939763313,42.01086426,-87.84195709
60068|0125885880|3667336844,41.99647903,-87.83875275
60068|0149077036|2145780129,41.99551010,-87.82798767
60068|0149629697|4072511124,42.00202942,-87.82956696
60068|0173059581|3178681432,41.99946594,-87.83921814
60068|0189632253|2411502703,42.01111603,-87.82270050
60068|0191384643|2393267070,41.99612808,-87.82621765
60068|0207429492|1255553419,42.02539825,-87.85726166
60068|0230327810|0229437637,41.98686981,-87.83162689
60068|0248709144|3364342515,42.00346375,-87.82937622
60068|0256824689|1898181622,41.98919678,-87.82662964
60068|0271191837|0550378694,41.99694061,-87.83192444
60068|0300331752|0933294219,42.00054932,-87.84796143
60068|0300508916|0991898754,42.03831482,-87.84081268
60068|0305329286|2149353967,42.02385330,-87.84313202
60068|0319286977|2062179236,42.00468826,-87.83435822
60068|0339874096|0592205691,42.00790787,-87.83589172
60068|0348068745|3499580359,42.02366257,-87.82107544
60068|0351035397|1317427593,41.99290085,-87.82743835
60068|0386669063|3867598193,41.98569489,-87.82917786
60068|0400417837|1028407855,42.00347137,-87.85026550
60068|0420951805|2530553479,42.04338837,-87.84896851
60068|0428569896|2235116123,41.98822403,-87.83403015
60068|0433249520|4114216946,41.99338531,-87.83773041
60068|0434742934|2442701921,41.99748993,-87.83122253
60068|0457593840|2214254583,41.99108505,-87.83672333
60068|0461280426|0643018408,42.00077820,-87.83593750
60068|0461280426|0738343023,42.00077820,-87.83593750
60068|0461520855|2281939169,42.00712585,-87.83910370
60068|0500893137|0722891886,41.99094772,-87.84078217
60068|0502108233|4037257129,41.98976135,-87.82897949
60068|0521246553|1770658629,41.99741364,-87.84080505
60068|0529466104|2936837464,42.02489090,-87.85883331
60068|0534456677|4218234396,41.99686050,-87.82165527
60068|0571611436|1994528231,42.00933838,-87.83911133
60068|0589295690|4122771344,41.98554611,-87.82547760
60068|0608583098|1203446359,41.98831177,-87.83872223
60068|0610596503|2565011123,42.00736618,-87.85768127
60068|0628177281|3201961358,42.00310516,-87.82402039
60068|0628843409|1206871577,42.01034546,-87.83152771
60068|0661805052|3773701512,42.00186920,-87.84320068
60068|0669821283|0396426699,42.01080322,-87.84462738
60068|0670330500|1851390147,42.01758575,-87.85975647
60068|0686243682|3124465309,41.99657822,-87.83512878
60068|0690188567|0149811523,42.01238632,-87.82951355
60068|0701000498|1889538659,42.01529694,-87.84915924
60068|0717739854|3629285635,41.99988174,-87.83754730
60068|0724340898|3387366644,41.99375916,-87.84436035
60068|0725536935|2144889208,41.99158096,-87.83509827
60068|0746251997|1379815022,41.99066925,-87.84553528
60068|0749944953|1374114744,42.02296448,-87.86367798
60068|0749944953|3250931023,42.02296448,-87.86367798
60068|0759446916|0229724565,41.99097443,-87.82255554
60068|0762576001|1677196473,42.00588608,-87.82682037
60068|0772886592|2686467609,41.99191666,-87.83976746
60068|0791552781|1898401143,42.01125717,-87.82622528
60068|0793857339|0509492311,42.00210190,-87.83917999
60068|0810393464|2861590478,41.98914719,-87.83657074
60068|0825751161|0799380338,41.98760986,-87.84432220
60068|0842879295|1112438359,41.99374390,-87.82373047
60068|0860297210|1990477919,41.98831177,-87.83872223
60068|0907549687|0461561596,42.01369095,-87.82775879
60068|0934130520|3524788374,41.99743271,-87.82958221
60068|0938037717|2020822070,41.99282837,-87.83512115
60068|0946378838|4000133095,42.01598358,-87.83412933
60068|0953515351|0099070951,41.99424362,-87.84447479
60068|0958174784|2383380131,41.99156952,-87.83392334
60068|0960606455|3846949571,41.99187088,-87.83028412
60068|0971466989|0606094414,42.00353622,-87.83121490
60068|0980187911|0877249574,42.00157547,-87.84564209
60068|0995139084|1795351119,41.98691177,-87.83034515
60068|1002111109|3729152603,42.02771759,-87.85520935
60068|1015441770|3703272556,41.99299240,-87.83966827
60068|1015522203|3512831768,42.01125717,-87.82622528
60068|1021140615|4083917364,42.02778244,-87.84543610
60068|1051182357|0040124957,42.01133347,-87.82191467
60068|1051182357|2000741252,42.01133347,-87.82191467
60068|1053613976|0627579804,42.00482178,-87.82481384
60068|1053613976|2505218190,42.00482178,-87.82481384
60068|1067945721|3501072947,42.01928329,-87.85037994
60068|1075702916|1452463320,41.98799515,-87.82662201
60068|1077978423|2671249699,41.99597168,-87.83512878
60068|1081767556|4218016527,42.02482986,-87.82952881
60068|1095018566|2912319764,41.99852371,-87.82260895
60068|1099276403|2482642323,42.02896118,-87.86003113
60068|1105805523|1223429609,42.01606369,-87.85279846
60068|1151219172|0371474949,42.01760864,-87.83756256
60068|1181307962|3694322991,42.02770615,-87.84429932
60068|1182393625|2528495305,41.98636627,-87.82912445
60068|1189036671|1297532886,41.99454117,-87.83126068
60068|1190796328|3949636516,41.98759460,-87.83654785
60068|1197761445|1970820664,42.00544739,-87.84440613
60068|1215149560|2555771410,41.99664307,-87.83003235
60068|1234402346|2274433383,42.00572586,-87.82547760
60068|1243004027|0969275648,42.02777481,-87.85343933
60068|1257022591|3904848578,41.99620438,-87.82990265
60068|1266246688|3322599004,42.01564789,-87.84434509
60068|1266611613|1076591286,42.00316620,-87.84320068
60068|1288595757|1155417423,42.00701523,-87.83432007
60068|1288941437|0806414000,42.01319885,-87.85528564
60068|1289531278|1747489855,41.99443817,-87.82644653
60068|1292208468|0836119233,42.00027466,-87.82955170
60068|1292529779|1803307540,42.02278519,-87.85267639
60068|1340675844|2325550110,42.01314926,-87.84069824
60068|1343480193|0869832142,42.01056671,-87.85197449
60068|1351687153|1816595995,42.00035858,-87.82472992
60068|1353846803|0499694221,41.99139786,-87.82660675
60068|1361604833|4221022733,41.98833847,-87.83823395
60068|1378067833|1609813182,42.01291275,-87.83827972
60068|1383555639|0075536483,42.00447845,-87.84197998
60068|1386442766|3375249260,42.03304672,-87.86429596
60068|1400350088|2619486052,41.99800873,-87.85284424
60068|1440784946|3764209938,41.98735428,-87.84266663
60068|1447800616|0001107382,41.99622345,-87.82995605
60068|1453212180|3056474051,42.00338745,-87.84078217
60068|1476905278|2140391522,42.01371002,-87.83096313
60068|1502662572|3019227841,42.00562668,-87.83592987
60068|1505422386|2439924076,42.00482559,-87.85696411
60068|1538636918|1772803776,42.03071213,-87.86486053
60068|1545891559|2994786579,41.99851227,-87.83634186
60068|1548791160|1346279880,41.99269485,-87.82243347
60068|1568126834|0647441125,42.01926422,-87.84071350
60068|1578722714|2771941235,41.98829651,-87.83908081
60068|1581055496|2548635792,42.03971863,-87.84911346
60068|1597769669|0410175327,42.00838470,-87.83776093
60068|1602407362|3834496354,41.99715805,-87.83254242
60068|1612279813|3193889952,42.01265335,-87.85043335
60068|1618501088|0616104308,42.01613235,-87.84915161
60068|1621736578|4264172428,42.02464676,-87.83203888
60068|1622141597|0785067710,41.98912430,-87.84235382
60068|1622141597|2928689302,41.98912430,-87.84235382
60068|1623250226|3448790904,42.01964569,-87.86374664
60068|1644980445|1489546777,41.98553085,-87.83045959
60068|1660630965|1188099410,42.00711823,-87.83751678
60068|1661537136|2322168690,42.01099777,-87.83950043
60068|1661791317|0099789036,41.98537827,-87.82939911
60068|1665200555|2018017116,42.00459671,-87.83592987
60068|1667344890|0755164359,42.01816177,-87.84919739
60068|1667344890|1052531732,42.01816177,-87.84919739
60068|1668987249|1022810978,42.01427460,-87.85528564
60068|1672474152|1050430582,41.98535538,-87.82920837
60068|1692315336|1659284116,42.01991272,-87.82792664
60068|1699650719|3950037129,42.01108170,-87.84069824
60068|1707412084|0804699797,42.00434113,-87.84441376
60068|1715232011|2893407089,42.01085281,-87.84235382
60068|1717786884|2779870345,42.00482178,-87.82474518
60068|1732454700|2380810969,42.00711823,-87.83751678
60068|1745896014|2285973578,42.00201416,-87.84078979
60068|1767055692|3672927948,41.99126434,-87.82908630
60068|1772255780|1281680587,41.99610138,-87.85304260
60068|1787614734|2716826315,41.99937439,-87.85051727
60068|1791725503|1198566125,42.01083755,-87.84069824
60068|1796316868|1011327238,42.00934982,-87.83468628
60068|1798473825|2670241268,41.98670959,-87.82424164
60068|1807624978|1587609147,42.01085281,-87.84235382
60068|1812560327|2988691602,41.98662186,-87.82667542
60068|1833994454|1482092230,42.02515793,-87.85039520
60068|1850450569|2550740914,42.01088715,-87.84314728
60068|1852174383|1748705097,42.00574493,-87.82507324
60068|1864398073|1953332384,42.01822662,-87.84919739
60068|1871667204|0107624267,42.00067902,-87.83438110
60068|1906336581|1499678785,41.99741745,-87.83647919
60068|1948436552|0757945040,42.02205658,-87.85140228
60068|1972288478|3000624855,41.99548721,-87.83768463
60068|1972288478|3170299013,41.99548721,-87.83768463
60068|1978212073|3257222459,42.00933075,-87.83588409
60068|1984516294|0652059053,41.99808884,-87.83958435
60068|1988432604|2383188615,42.00288391,-87.84879303
60068|1990778737|2315990613,41.99024963,-87.83655548
60068|1998463923|0976120363,42.00769043,-87.82131958
60068|2006510752|3492647662,42.00727081,-87.85757446
60068|2022894933|3578430187,42.00450134,-87.83435822
60068|2032408216|2672080550,41.98828506,-87.83975983
60068|2034665924|1298712355,41.99708176,-87.84808350
60068|2069723008|3919405910,41.99124146,-87.82913971
60068|2082715616|0799270879,41.99301910,-87.82740021
60068|2096404072|2873059786,42.01227951,-87.82616425
60068|2130674875|4105168790,42.01514816,-87.82611847
60068|2171324370|2817353895,42.02040100,-87.82323456
60068|2213189564|1409258414,42.00458145,-87.82971954
60068|2216969036|2651983427,41.99674988,-87.82604218
60068|2239585555|1446461562,42.00450516,-87.83592987
60068|2263130814|2324795834,41.99577332,-87.84446716
60068|2268338100|2398180131,42.03284836,-87.85508728
60068|2273228335|3239748473,41.99276733,-87.84095764
60068|2290788113|3383044582,41.99660873,-87.83136749
60068|2312534498|2984611446,42.00440598,-87.84563446
60068|2318230639|0398861837,42.01081467,-87.85044861
60068|2319086475|0016747322,42.01783752,-87.85767365
60068|2327042380|2378392477,41.98910904,-87.82273102
60068|2338834604|2035525300,41.98997498,-87.83886719
60068|2341024240|4217384843,41.99616241,-87.84567261
60068|2343037079|1904349565,42.01169586,-87.84678650
60068|2345180440|3024422294,42.00136185,-87.82141113
60068|2350078199|0547933420,42.03831863,-87.84975433
60068|2387762448|4176014876,42.01050568,-87.85530090
60068|2393351892|3732822745,41.99298859,-87.83512115
60068|2403373891|1910846983,42.00440216,-87.84980011
60068|2407162389|1357201593,42.01089859,-87.85530090
60068|2425894114|0708277332,41.99514389,-87.84105682
60068|2440898168|0610487171,41.99277115,-87.83390808
60068|2441045529|0942759216,41.99826431,-87.84564972
60068|2456526910|3616025001,42.02032852,-87.84558105
